--- asteroids vs asteroids ---
6 9 0.168619 0.672802
6 10 0.00485278 0.384841
6 11 0.00512743 -0.475319
6 12 0.00670973 -0.529651
6 13 0.0120231 0.188504
6 14 0.00263126 -0.0446078
6 15 0.594874 -0.535568
6 16 0.0775921 0.151369
6 17 0.00743065 -0.670835
6 18 0.00686914 0.243012
6 19 0.00616774 0.101711
6 20 0.0260831 -0.731585
6 21 0.00463991 -0.0443056
6 22 0.0035215 0.425754
6 23 0.00794365 -0.54965
6 24 0.0654384 0.00940688
6 25 0.00515975 -0.660635
6 26 0.00743949 0.758033
6 27 0.00295787 -0.524705
6 28 0.00585515 0.371841
6 29 0.00594771 -0.0181623
6 30 0.00571627 0.172152
6 31 0.00661273 -0.0298531
6 32 0.0058315 0.352349
6 33 0.0188321 0.563757
6 34 0.0589943 0.604277
6 35 0.012357 0.755086
6 36 0.00515604 -0.11124
6 37 0.0037449 -0.667859
6 38 0.00601339 -0.689467
6 39 0.0104517 0.463509
6 40 0.0195576 -0.779631
6 41 0.00323867 -0.511157
6 42 0.0145398 0.697851
6 43 0.0421006 0.765914
6 44 0.0133432 -0.206051
6 45 0.0156718 -0.0824474
6 46 0.0550677 0.299135
6 47 0.00850474 0.0885075
6 48 0.00788663 -0.264977
6 49 0.0496981 0.165762
6 50 0.00355649 -0.516337
6 51 0.00347628 -0.441166
6 52 0.133711 0.617635
6 53 0.0115255 0.321573
6 54 0.0044307 0.462156
6 55 0.00819284 -0.329534
6 56 0.00594423 -0.422214
6 57 0.111476 0.282068
6 58 0.0034563 -0.463304
6 59 0.00403361 -0.0313934
6 60 0.00489148 0.0924861
6 61 0.00506024 -0.528714
6 62 0.0545103 -0.730805
6 63 0.00445263 0.453506
6 64 0.00316502 -0.390047
6 65 0.00382959 -0.570426
6 66 0.0204341 -0.463722
6 67 0.0127393 -0.455981
6 68 0.00404733 0.388544
6 69 0.00583081 -0.0979399
6 70 0.00468818 0.0191093
6 71 0.0105093 0.412905
6 72 0.00368528 -0.369163
6 73 0.00765954 0.424931
6 74 0.0244048 -0.220535
6 75 0.011255 0.718839
6 76 0.117441 0.437492
6 77 0.00829994 0.710718
6 78 0.0150191 -0.642848
6 79 0.00425512 -0.744643
6 80 0.00781579 -0.624835
6 81 0.0768106 -0.57735
6 82 0.00463728 -0.289485
6 83 0.074975 -0.0892099
6 84 0.0120959 -0.752608
6 85 0.0057081 -0.154409
6 86 0.00928909 0.722969
6 87 0.115286 0.350879
6 88 0.00778782 0.706227
6 89 0.101871 -0.456674
6 90 0.0057097 0.348564
6 91 0.0174564 -0.166079
6 92 0.154894 -0.3602
6 93 0.00343441 -0.0225857
6 94 0.00308149 0.777315
6 95 0.0103158 0.63712
6 96 0.00907652 -0.729483
6 97 0.00402752 -0.506197
6 98 0.0920545 0.572701
6 99 0.0710001 -0.718445
7 8 0.079435 -0.00650111
7 9 0.00459169 0.689768
7 10 0.00178356 0.0686039
7 11 0.00902996 0.0253316
7 12 0.0200179 0.0259118
